;"referenceName";"vernacularName";"type";"family"
;"Motacilla alba subpersonata Meade-Waldo, 1901";;"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla alba yarrellii Gould, 1837";"Bergeronnette de Yarrell";"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla cinerea Tunstall, 1771";"Bergeronnette des ruisseaux";"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla citreola Pallas, 1776";"Bergeronnette citrine";"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla flava beema (Sykes, 1832)";;"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla flava cinereocapilla Savi, 1831";;"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla flava flava Linnaeus, 1758";;"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla flava flavissima (Blyth, 1834)";;"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla flava iberiae Hartert, 1921";;"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla flava Linnaeus, 1758";"Bergeronnette printanière";"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla flava thunbergi Billeberg, 1829";;"Passeriformes (Passereaux)";"Motacillidae"
;"Motacilla lugens Gloger, 1829";;"Passeriformes (Passereaux)";"Motacillidae"
;"Muscicapa striata (Pallas, 1764)";"Gobemouche gris";"Passeriformes (Passereaux)";"Muscicapidae (Fauvettes, Gobes-mouches)"
;"Mustelirallus albicollis (Vieillot, 1819)";"Marouette plombée";"Gruiformes (Grues)";"Rallidae"
;"Mustelirallus erythrops (Sclater, 1867)";"Râle à bec peint";"Gruiformes (Grues)";"Rallidae"
;"Mustelirallus erythrops olivascens (Chubb, 1917)";;"Gruiformes (Grues)";"Rallidae"
;"Myadestes genibarbis Swainson, 1838";"Solitaire à gorge rousse, Siffleur des montagnes";"Passeriformes (Passereaux)";"Turdidae (Merles, Rouges-gorges, Grives)"
;"Mycteria americana Linnaeus, 1758";"Tantale d'Amérique";"Pelecaniformes";"Ciconiidae (Cigognes)"
;"Myiagra caledonica Bonaparte, 1857";;"Passeriformes (Passereaux)";"Monarchidae"
;"Myiagra caledonica caledonica Bonaparte, 1857";"Monarque mélanésien, Gobe-mouches à large bec";"Passeriformes (Passereaux)";"Monarchidae"
;"Myiagra caledonica melanura G. R. Gray, 1860";"Gobe-mouche de Maré";"Passeriformes (Passereaux)";"Monarchidae"
;"Myiagra caledonica viridinitens G. R. Gray, 1859";"Gobe-mouche de Lifou";"Passeriformes (Passereaux)";"Monarchidae"
;"Myiarchus cinerascens (Lawrence, 1851)";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiarchus crinitus (Linnaeus, 1758)";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiarchus ferox (Gmelin, 1789)";"Tyran féroce";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiarchus oberi Lawrence, 1877";"Tyran janeau";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiarchus stolidus (Gosse, 1847)";"Tyran grosse-tête";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiarchus swainsoni Cabanis & Heine, 1859";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiarchus tuberculifer (D'Orbigny & Lafresnaye, 1837)";"Tyran olivâtre";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiarchus tyrannulus (Statius Müller, 1776)";"Tyran de Wied";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiobius barbatus (Gmelin, 1789)";"Moucherolle barbichon";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiodynastes maculatus (Statius Müller, 1776)";"Tyran audacieux";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiodynastes maculatus maculatus (Statius Müller, 1776)";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiodynastes maculatus solitarius (Vieillot, 1819)";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiopagis caniceps (Swainson, 1835)";"Elénie grise";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiopagis caniceps cinerea (Pelzeln, 1868)";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiopagis flavivertex (Sclater, 1887)";"Élénie à couronne d'or";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiopagis gaimardii (D'Orbigny, 1840)";"Élénie de Gaimard";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiopagis gaimardii guianensis (Berlepsch, 1907)";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiophobus fasciatus (Statius Müller, 1776)";"Moucherolle fascié";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiopsitta monacha (Boddaert, 1783)";"Conure veuve";"Psittaciformes (Perroquets, perruches)";"Psittacidae"
;"Myiornis ecaudatus (D'Orbigny & Lafresnaye, 1837)";"Microtyran à queue courte";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiornis ecaudatus miserabilis (Chubb, 1919)";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiothlypis rivularis (Wied-Neuwied, 1821)";"Paruline des rives";"Passeriformes (Passereaux)";"Parulidae"
;"Myiothlypis rivularis mesoleuca (Sclater, 1865)";;"Passeriformes (Passereaux)";"Parulidae"
;"Myiozetetes cayanensis (Linnaeus, 1766)";"Tyran de Cayenne";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiozetetes luteiventris (Sclater, 1858)";"Tyran à gorge rayée";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiozetetes luteiventris septentrionalis Blake, 1961";;"Passeriformes (Passereaux)";"Tyrannidae"
;"Myiozetetes similis (Spix, 1825)";"Tyran sociable";"Passeriformes (Passereaux)";"Tyrannidae"
;"Myrmeciza atrothorax (Boddaert, 1783)";"Alapi de Buffon";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmeciza longipes (Swainson, 1825)";;"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmelastes leucostigma (Pelzeln, 1868)";;"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmoborus leucophrys (Tschudi, 1844)";"Alapi à sourcils blancs";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmoderus ferrugineus (Statius Müller, 1776)";"Alapi à cravate noire";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmornis torquata (Boddaert, 1783)";"Palicour de Cayenne";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmothera campanisona (Hermann, 1783)";"Grallaire grand-beffroi";"Passeriformes (Passereaux)";"Grallariidae"
;"Myrmotherula axillaris (Vieillot, 1817)";"Myrmidon à flancs blancs";"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmotherula behni Berlpesch & Leverkühn, 1890";;"Passeriformes (Passereaux)";"Thamnophilidae"
;"Myrmotherula brachyura (Hermann, 1783)";"Myrmidon pygmée";"Passeriformes (Passereaux)";"Thamnophilidae"
