referenceName;vernacularName ;type ;family
Epinecrophylla gutturalis (Sclater & Salvin, 1881);Myrmidon Ö ventre brun;Passeriformes (Passereaux);Thamnophilidae
Eremophila alpestris (Linnaeus, 1758);Alouette haussecol;Passeriformes (Passereaux);Alaudidae
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;Passeriformes (Passereaux);Saxicolidae
Erythrura psittacea (Gmelin, 1789);Diamant psittaculaire, Cardinal de NoumÇa, Pape de NoumÇa;Passeriformes (Passereaux);Estrildidae
Erythrura trichroa (Kittlitz, 1835);;Passeriformes (Passereaux);Estrildidae
Erythrura trichroa cyanofrons E. L. Layard, 1878;Diamant de kittlitz, Bengali des Nouvelles-HÇbrides;Passeriformes (Passereaux);Estrildidae
Esacus magnirostris (Vieillot, 1818);Oedicnäme des rÇcifs;Charadriiformes (Limicoles);Burhinidae
Estrilda astrild (Linnaeus, 1758);Astrild bec de corail, Astrild ondulÇ;Passeriformes (Passereaux);Estrildidae
Estrilda melpoda (Vieillot, 1817);Astrild Ö joues orange;Passeriformes (Passereaux);Estrildidae
Estrilda troglodytes (Lichtenstein, 1823);Astrild cendrÇ, Astrild troglodyte;Passeriformes (Passereaux);Estrildidae
Euchrepomis callinota (Sclater, 1855);Grisin Ö croupion roux;Passeriformes (Passereaux);Thamnophilidae
Euchrepomis callinota guianensis Blake, 1949;;Passeriformes (Passereaux);Thamnophilidae
Euchrepomis spodioptila (Sclater & Salvin, 1881);Grisin spodioptile;Passeriformes (Passereaux);Thamnophilidae
Eucometis penicillata (Spix, 1825);;Passeriformes (Passereaux);Thraupidae
Eudocimus albus (Linnaeus, 1758);Ibis blanc;Pelecaniformes;Threskiornithidae (Ibis, Spatules)
Eudocimus ruber (Linnaeus, 1758);Ibis rouge;Pelecaniformes;Threskiornithidae (Ibis, Spatules)
Eudromias morinellus (Linnaeus, 1758);Pluvier guignard;Charadriiformes (Limicoles);Charadriidae
Eudyptes chrysocome (Forster, 1781);Gorfou sauteur;Sphenisciformes;Spheniscidae
Eudyptes chrysocome filholi Hutton, 1879;Gorfou de Filhol;Sphenisciformes;Spheniscidae
Eudyptes chrysolophus (Brandt, 1837);Gorfou maraconi;Sphenisciformes;Spheniscidae
Eudyptes moseleyi Mathews & Iredale, 1921;Gorfou sauteur du Nord, Gorfou de Moseley;Sphenisciformes;Spheniscidae
Eudyptes schlegeli Finsch, 1876;Gorfou de Schlegel;Sphenisciformes;Spheniscidae
Eudyptes sclateri Buller, 1888;;Sphenisciformes;Spheniscidae
Eulampis holosericeus (Linnaeus, 1758);Colibri falle-vert, Falle-vert;Caprimulgiformes;Trochilidae
Eulampis jugularis (Linnaeus, 1766);Madäre, Colibri madäre;Caprimulgiformes;Trochilidae
Eunymphicus cornutus (Gmelin, 1788);Perruche cornue, Perruche de la chaåne;Psittaciformes (Perroquets, perruches);Psittacidae
Eunymphicus uvaeensis (E. L. Layard & E. L. C. Layard, 1882);Perruche d'OuvÇa;Psittaciformes (Perroquets, perruches);Psittacidae
Euodice malabarica (Linnaeus, 1758);Capucin bec-de-plomb;Passeriformes (Passereaux);Estrildidae
Eupetomena macroura (Gmelin, 1788);;Caprimulgiformes;Trochilidae
Euphagus carolinus (P. L. S. MÅller, 1776);Quiscale rouilleux, Mainate rouilleux;Passeriformes (Passereaux);Icteridae
Euphonia cayennensis (Gmelin, 1789);Organiste nägre;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia chlorotica (Linnaeus, 1766);;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia chrysopasta nitida (Penard, 1923);;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia chrysopasta Sclater & Salvin, 1869;Organiste fardÇ;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia cyanocephala (Vieillot, 1818);Organiste dorÇ;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia finschi Sclater & Salvin, 1877;Organiste de Finsch;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia minuta Cabanis, 1849;Organiste cul-blanc;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia musica (Gmelin, 1789);Organiste louis d'or, Perruche, Avant Noâl, Roi-bois;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia plumbea De Bus de Gisignies, 1855;Organiste plombÇ;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euphonia violacea (Linnaeus, 1758);Organiste tÇãtÇ;Passeriformes (Passereaux);Fringillidae (Pinsons, Becs-croisÇs, Linottes)
Euplectes franciscanus (Isert, 1789);Euplecte franciscain;Passeriformes (Passereaux);Ploceidae (Moineaux)
Euplectes orix (Linnaeus, 1758);Euplecte ignicolore;Passeriformes (Passereaux);Ploceidae (Moineaux)
Eupsittula aurea (Gmelin, 1788);;Psittaciformes (Perroquets, perruches);Psittacidae
Eupsittula labati Rothschild, 1905;Perrique de Guadeloupe, Conure de Guadeloupe;Psittaciformes (Perroquets, perruches);Psittacidae
Eupsittula pertinax (Linnaeus, 1758);Conure cuivrÇe;Psittaciformes (Perroquets, perruches);Psittacidae
Eupsittula pertinax surinama Zimmer & Phelps, 1951;;Psittaciformes (Perroquets, perruches);Psittacidae
Eurostopodus mystacalis (Temminck, 1826);;Caprimulgiformes;Caprimulgidae
Eurostopodus mystacalis exul Mayr, 1941;Engoulevent de Nouvelle-CalÇdonie;Caprimulgiformes;Caprimulgidae
Eurypyga helias (Pallas, 1781);Caurale soleil;Eurypygiformes;Eurypygidae
Eurystomus glaucurus (MÅller, 1776);Rolle violet;Coraciiformes (Guàpiers);Coraciidae
Eurystomus glaucurus glaucurus (MÅller, 1776);;Coraciiformes (Guàpiers);Coraciidae
Eurystomus glaucurus migrans;Rolle violet;Coraciiformes (Guàpiers);Coraciidae
Falco amurensis Radde, 1863;Faucon de l'Amour;Falconiformes (Rapaces diurnes);Falconidae
Falco biarmicus Temminck, 1825;Faucon lanier;Falconiformes (Rapaces diurnes);Falconidae
Falco cenchroides Vigors & Horsfield, 1826;CrÇcerelle d?Australie;Falconiformes (Rapaces diurnes);Falconidae
Falco cherrug Gray, 1834;Faucon sacre;Falconiformes (Rapaces diurnes);Falconidae
Falco columbarius Linnaeus, 1758;Faucon Çmerillon;Falconiformes (Rapaces diurnes);Falconidae
Falco concolor Temminck, 1825;Faucon concolore;Falconiformes (Rapaces diurnes);Falconidae
Falco deiroleucus Temminck, 1825;Faucon orangÇ;Falconiformes (Rapaces diurnes);Falconidae
Falco duboisi G.S. Cowles, 1994;;Falconiformes (Rapaces diurnes);Falconidae
Falco eleonorae GÇnÇ, 1839;Faucon d'êlÇonore;Falconiformes (Rapaces diurnes);Falconidae
Falco femoralis femoralis Temminck, 1822;;Falconiformes (Rapaces diurnes);Falconidae
Falco femoralis Temminck, 1822;Faucon aplomado;Falconiformes (Rapaces diurnes);Falconidae
